id,title,abstract
6883021,Real Time Assessment of Computational Thinking,"this paper suggests a cyberlearning tool based on a highly innovative assessment methodology that helps teachers with computer science education. currently, there is a strong push to integrate aspects of programming and coding into the classroom environment. however, few if any tools exist that enable real-time formative assessment of in-class programming tasks. the proposed react (real time evaluation and assessment of computational thinking) system is a first step toward allowing teachers to see which high-level concepts students have mastered and which ones they are struggling with as students code in real time. react supports and facilitates the teaching of 21st century computing skills such as computational thinking 1 in the classroom environment."
9247066,Performance-based evaluation of computational thinking skills using machine learning,"this thesis study is an evaluation tool that measures the users computational thinking (ct) according to its performance on block-based programming languages (bbpl) by using machine learning techniques. the evaluation tool makes an evaluation for machine learning model and each of the computational thinking seven fields. via this developed tool, the objective is to product an alternative to the limited evaluation tools on block-based programming languages. literature research was brought out in two sides as machine learning and block-based programming languages. in the first stage, on machine learning, the data set and the methods used in educational field were researched. in the second stage, the devices which are used to measure the performance on block- based programming languages were analyzed. on literature, there are various sources for teaching computational thinking ,but it occurs that measuring instruments that evaluates computational thinking are inadequate. to evaluate computational thinking a machine learning model was trained. trained model was turned into online evaluation tool by which both the tutors and the students evaluate computational thinking easily. in the final stage, the developed online evaluation tool and the outcome was analyzed."
8995066,Educational Robotics and Computational Thinking Development in Preschool,"programming robots playing with the environment is an ongoing research project aimed at developing a robot and intervention program capable of enhancing young childrens cognitive abilities and computational thinking skills. using a robot sensitive to color and distance, children are able to use everyday objects in order to interact with it and program its movements. an eleven session intervention program using this robot was designed with the objective of creating playful learning instances were children would practice abilities associated with what is generally thought of as computational thinking. well assess childrens computational thinking, fluid intelligence, working memory, planning, sequencing, number recognition and magnitude comparison, vocabulary, mental rotation, inhibitory control and cognitive flexibility to test for cognitive effects of the intervention. an active control in which children interact with the robot by remotely controlling it was used."
9071265,Computational Thinking Education: Who Let the Dog Out?,"today, computational thinking is seen as an important competency and the fourth skill that every child should process. several significant attempts have been made to increase a students exposure to computational thinking at the k-12 level, however the process is complex and requires systematic planning and comprehensive curriculum. in this paper, we describe the stepp-up program that aims to introduce middle schoolers to computational thinking via scratch and java coding sessions. a comprehensive curriculum and hands-on activities are applied to introduce computational thinking for a total of 41 students for a period of five semesters from fall 2017 until fall 2019. to assess the learning objectives, we used three methods of evaluation; design-scenarios, paper-assessments, and learner-documentation. findings indicate that the students have increased knowledge of computational thinking and its applications for problem solving."
9990631,Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning,"computational thinking is a fundamental thinking skill for students in the 21st-century learning era. this study aims to integrate computational thinking skills in physics through project-based learning. data were gathered through observation, interviews, and portfolio documents. the results indicated three main categories of computational thinking: decomposition, abstraction, and simulation. the implementation of project-based learning can develop students computational thinking skills. students are trained to solve physics problems analytically and precisely in structured and logical thinking through a project. this research is expected to be the information for physics teachers to integrate computational thinking in the classroom as a 21st-century learning skill."
9272097,Comparing computational thinking skills of engineering students in urban and rural areas of Peru,"the present study focuses on comparing the achievement levels of computational thinking skills in first-year engineering students at two peruvian universities, one located in an area with a high human development index (lima) and the other in a more vulnerable area (amazonas). the study is based on a computational thinking competence assessment model carried out with 112 students who were given challenges and problems. the results show that: (a) the achievement levels of computational thinking competences differ significantly between the lima group and the amazonas group, (b) the highest levels of competence achievement are associated with students who had some level of previous instruction in secondary education, and (c) the differences in the achievement of computational thinking skills according to student gender are not significant."
9728803,The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension,"recent college students have been observed to be motivated and engaged in acquiring information and communication technology (ict) knowledge and skills with robots and digital media. the purpose of this study is to develop students technology comprehension through a learning activity by constructing robot-based storytelling systems. a sample of 15 college students participated in the program. data collected include the pre-and post-computational thinking tests (ctt) and computational thinking skill (cts) tests for evaluating their learning effects of technology comprehension (tc) in terms of computational thinking knowledge and skills and their perceptions toward the robot-based storytelling development environment and learning activities. the results show that the learning activities were an effective approach for enhancing the students tc as shown in the post-test. the differences between the students ct and perceptions were also confirmed. the results revealed that the learning activities with the robot-based storytelling development environment could improve the students tc knowledge and skills, and learning perceptions."
6778575,Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education,computational thinking aims to employ computer science foundations to solve problems in different knowledge areas. this paper describes projects related to computational thinking and starts a discussion on the challenges for implementing computational thinking in primary and secondary education in brazil.
9973092,A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students,"with the rapid development of human society and technology, its necessary for contemporary students to have the ability to quickly adapt to social development. meanwhile, traditional educational concepts have to be transformed in time, and a full understanding of computational thinking plays an important role in promoting students life-long development. based on in-depth analysis and research on computational thinking theory, this paper integrates micro: bit into teaching from the perspective of practical application. after analyzing the teaching objectives, teaching contents, and teaching process, this paper proposes an instructional design for the development of computational thinking for secondary school students."
9583648,COEDU-IN Project: an inclusive co-educational project for teaching computational thinking and digital skills at early ages,"learning to program is the new literacy of the 21st century. computational thinking, closely related to programming, requires thinking and solving problems with different levels of abstraction and is independent of hardware devices. the early childhood education stage provides teachers with the opportunity to lay the foundations for a comprehensive quality education using innovative tools and technologies. educational robotics in early childhood education becomes a tool that facilitates the acquisition of knowledge to children, playfully, based on the principles of interactivity, social interrelationships, collaborative work, creativity, constructivist and constructionist learning, and a student-centered didactic approach, allowing in turn that student can acquire digital competencies and develop logical and computational thinking in an underlying way. this project explores the current state of teaching and learning computational thinking and programming in early childhood education in an inclusive manner. moreover, the lack of diversity and inequality is particularly latent in science, technology, engineering, and mathematics (stem) fields. therefore, this work considers this problem and presents an inclusive coeducation approach to this new literacy, eliminating gender stereotypes and extending them to people with down syndrome and hospitalized minors."
10663178,Promoting Computational Thinking Skills Through Game-Based Learning of Students in Lower Secondary School,"this studys objectives were to: 1) compare computational thinking skills before and after game-based learning activities; and 2) study students satisfaction after game-based learning. the research methodology uses the addie model by driving game-based learning activities and promoting students with computational thinking skills, including decomposition, pattern recognition, abstraction, and algorithm design. the statistical methods used to analyze the data were mean, standard deviation, and t-test. the studys findings revealed that 1) the students computational thinking skills improved significantly after engaging in game-based learning activities, demonstrating statistical significance at the.05 level, and 2) the overall students satisfaction after activities with game-based learning was averaged at the highest level ( 4.75, s.d. 0.52)."
7739692,Fostering computational thinking skills with a tangible blocks programming environment,"computational thinking has recently returned into the limelight as an essential skill to have for both the general public and disciplines outside computer science. it encapsulates those thinking skills integral to solving complex problems using a computer, thus widely applicable in our technological society. several public initiatives such as the hour of code successfully introduced it to millions of people of different ages and backgrounds, mostly using blocks programming environments like scratch that lower the barriers of programming and facilitate learning. in this paper we present our arguments for fostering computational thinking skills using a blocks programming environment augmented with a tangible user interface, namely by exploiting objects whose interactions with the physical environment are mapped to digital actions performed on the system. our demonstration includes a working prototype implementing our tangible blocks programming environment called tapas."
8405132,Problock: A tool for computational thinking development using problem-based learning,"while in the workplace are highly demanded work-related awareness of computing and information technology, this discipline does not have sufficient and accurate dissemination, especially in schools. new technologies have positioned more as a communication tool than as a means for building innovative products. on the other hand, it has missed the application of own abilities in the area, such as the development of logical reasoning, algorithmic thinking and problem solving, both the school curriculum as well as in instances of informal learning of students. in literature and on the web, there are tools that are accessible by both self-study students to be used as a complement to other activities. however, these tools seek the development of computational thinking itself, and not within a broader framework, which allows to present the computer science as an area of professional development, for example, inserted in a context where should solve problems requiring support programming and algorithms. problock is proposed as a tool to (1) develop computational thinking, in a context of learning based on addiction problems, (2) disseminate and motivate students for future professional development in higher education in computer science and disciplines related. in this paper, the results of the construction of the tool are presented and the work in progress in a chilean school."
