Journals,Frecuencia
journal of educational computing research,162
computers & education,137
international journal of child-computer interaction,111
thinking skills and creativity,75
computers in human behavior,51
computers and education: artificial intelligence,51
procedia computer science,50
ieee access,34
heliyon,34
entertainment computing,21
computers and education open,20
international journal of architectural computing,18
sage open,17
ieee transactions on education,16
teaching and teacher education,15
